timestamp,variant,prompt_n,prompt_ms,prompt_per_second,error
2026-07-07T08:11:31Z,f16,27001,39742.563,679.3975516878465,
2026-07-07T08:12:20Z,q8_0,27001,37731.321,715.6123688327795,
