timestamp,variant,profile,rep,prompt_n,prompt_ms,prompt_per_second,predicted_n,predicted_ms,predicted_per_second,accept_rate,error
2026-07-06T16:18:34Z,none,warmup,0,19,1701.32,11.167799120682766,16,3713.84,4.308209292807445,,
2026-07-06T16:18:40Z,none,reason,1,76,1080.689,70.32550530263562,1024,258557.372,3.960436293419628,,
2026-07-06T16:23:01Z,none,reason,2,76,1165.928,65.18412800790442,1024,260534.386,3.93038330072868,,
2026-07-06T16:27:35Z,mtp,warmup,0,19,1719.246,11.05135623407005,16,1787.192,8.952591551439353,,
2026-07-06T16:27:39Z,mtp,reason,1,76,1061.59,71.59072711687186,1024,125906.455,8.133022250527187,,
2026-07-06T16:29:47Z,mtp,reason,2,76,1048.331,72.49618679596426,1024,125698.792,8.146458559442639,,
2026-07-06T16:32:11Z,dflash,startup,0,,,,,,,,"health timeout"
2026-07-06T16:33:24Z,mtp,warmup,0,19,1825.387,10.408751678411209,16,1675.658,9.548487817919886,,
2026-07-06T16:33:28Z,mtp,reason,1,76,1084.422,70.08341771007966,1024,127938.439,8.003849413857552,,
2026-07-06T16:35:38Z,mtp,reason,2,76,1150.564,66.0545610674417,1024,126443.824,8.098458015632302,,
2026-07-06T16:39:04Z,dflash,warmup,0,19,2268.366,8.376073349715169,16,6400.143,2.49994414187308,,
2026-07-06T16:39:14Z,dflash,reason,1,76,1159.176,65.5638142956721,1024,210924.825,4.854810238671527,,
2026-07-06T16:42:47Z,dflash,reason,2,76,1346.162,56.456800890234604,1024,189337.427,5.408333768051047,,
