timestamp,variant,profile,rep,prompt_n,prompt_ms,prompt_per_second,predicted_n,predicted_ms,predicted_per_second,accept_rate,error
2026-07-06T15:49:44Z,dflash,warmup,0,19,3118.202,6.09325502324737,16,2860.892,5.592661309829243,,
2026-07-06T15:49:51Z,dflash,pp_8k,1,9001,40196.587,223.9244839369074,1,0.001,1000000.0,,
2026-07-06T15:50:33Z,dflash,pp_8k,2,9001,14178.226,634.8467008495985,1,0.001,1000000.0,,
2026-07-06T15:50:48Z,dflash,tg,1,19,170.111,111.6917777216053,256,12390.245,20.661415492591146,,
2026-07-06T15:51:02Z,dflash,tg,2,19,166.414,114.17308639898086,256,8173.511,31.320689480934202,,
2026-07-06T15:51:11Z,dflash,tg,3,19,172.46,110.17047431288415,256,8182.372,31.28677112211471,,
